Classifier,Accuracy,Precision (positive class),Recall (positive class),F-score (positive class),Precision (negative class),Recall (negative class),F-score (negative class)
Nearest Neighbors (k=13) & $0.983$  & $0.951$  & $0.948$  & $0.949$  & $0.990$  & $0.990$  & $0.990$ \\\hline
Nearest Neighbors (k=10) & $0.978$  & $0.935$  & $0.931$  & $0.932$  & $0.986$  & $0.987$  & $0.987$ \\\hline
Nearest Neighbors (k=50) & $0.962$  & $0.925$  & $0.841$  & $0.880$  & $0.969$  & $0.986$  & $0.978$ \\\hline
Linear SVM (C=0.025) & $0.984$  & $0.964$  & $0.937$  & $0.950$  & $0.988$  & $0.993$  & $0.990$ \\\hline
Linear SVM (C=1) & $0.989$  & $0.968$  & $0.966$  & $0.967$  & $0.993$  & $0.994$  & $0.993$ \\\hline
RBF SVM & $0.947$  & $1.000$  & $0.679$  & $0.805$  & $0.940$  & $1.000$  & $0.969$ \\\hline
Classifier,Accuracy,Precision (positive class),Recall (positive class),F-score (positive class),Precision (negative class),Recall (negative class),F-score (negative class)
Decision Tree & $0.982$  & $0.952$  & $0.941$  & $0.946$  & $0.988$  & $0.991$  & $0.989$ \\\hline
Random Forest & $0.847$  & $0.400$  & $0.074$  & $0.125$  & $0.845$  & $1.000$  & $0.916$ \\\hline
Neural Net & $0.983$  & $0.949$  & $0.949$  & $0.949$  & $0.990$  & $0.990$  & $0.990$ \\\hline
AdaBoost & $0.990$  & $0.976$  & $0.964$  & $0.970$  & $0.993$  & $0.995$  & $0.994$ \\\hline
Naive Bayes & $0.796$  & $0.449$  & $0.983$  & $0.616$  & $0.996$  & $0.759$  & $0.861$ \\\hline
QDA & $0.825$  & $0.488$  & $0.981$  & $0.651$  & $0.996$  & $0.795$  & $0.883$ \\\hline
Gradient Boosting Classifier & $0.993$  & $0.984$  & $0.973$  & $0.978$  & $0.995$  & $0.997$  & $0.996$ \\\hline
